19-4-4 07:39:20.8|Info|UpdateApp|Starting Sonarr Update Client
19-4-4 07:39:33.4|Debug|DiskTransferService|Mirror [/opt/NzbDrone/UI/Content/_output] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output]
19-4-4 07:39:33.4|Debug|DiskTransferService|Mirror [/opt/NzbDrone/UI/Content/_output/UI] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI]
19-4-4 07:39:33.4|Debug|DiskTransferService|Mirror [/opt/NzbDrone/UI/Content/_output/UI/Content] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content]
19-4-4 07:39:33.4|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/activity.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/activity.css.map]
19-4-4 07:39:33.5|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/activity.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:33.5|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/addSeries.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/addSeries.css.map]
19-4-4 07:39:33.6|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/addSeries.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:33.7|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/bootstrap.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/bootstrap.css.map]
19-4-4 07:39:33.7|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/bootstrap.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:33.8|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/bootstrap.toggle-switch.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/bootstrap.toggle-switch.css.map]
19-4-4 07:39:33.9|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/bootstrap.toggle-switch.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:33.9|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/calendar.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/calendar.css.map]
19-4-4 07:39:34.0|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/calendar.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:34.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/cells.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/cells.css.map]
19-4-4 07:39:34.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/cells.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:34.2|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/fullcalendar.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/fullcalendar.css.map]
19-4-4 07:39:34.2|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/fullcalendar.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:34.3|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/info.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/info.css.map]
19-4-4 07:39:34.4|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/info.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:34.4|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/logs.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/logs.css.map]
19-4-4 07:39:34.5|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/logs.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:34.5|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/manualimport.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/manualimport.css.map]
19-4-4 07:39:34.6|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/manualimport.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:34.7|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/messenger.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/messenger.css.map]
19-4-4 07:39:34.7|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/messenger.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:34.8|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/messenger.flat.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/messenger.flat.css.map]
19-4-4 07:39:34.8|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/messenger.flat.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:34.9|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/overrides.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/overrides.css.map]
19-4-4 07:39:35.0|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/overrides.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:35.0|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/series.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/series.css.map]
19-4-4 07:39:35.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/series.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:35.2|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/settings.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/settings.css.map]
19-4-4 07:39:35.2|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/settings.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:35.3|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/theme.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/theme.css.map]
19-4-4 07:39:35.3|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/theme.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:35.4|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/_output/UI/Content/update.css.map] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/update.css.map]
19-4-4 07:39:35.5|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI/Content/update.css.map for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:35.6|Debug|DiskTransferService|Mirror [/opt/NzbDrone/UI/Content/fonts] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts]
19-4-4 07:39:35.6|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/fonts/UbuntuMono-Regular.ttf] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/UbuntuMono-Regular.ttf]
19-4-4 07:39:35.6|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/UbuntuMono-Regular.ttf for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:35.7|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/fonts/opensans-light.eot] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-light.eot]
19-4-4 07:39:35.8|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-light.eot for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:35.8|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/fonts/opensans-light.ttf] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-light.ttf]
19-4-4 07:39:35.9|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-light.ttf for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:35.9|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/fonts/opensans-light.woff] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-light.woff]
19-4-4 07:39:36.0|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-light.woff for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:36.0|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/fonts/opensans-regular.eot] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-regular.eot]
19-4-4 07:39:36.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-regular.eot for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:36.2|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/fonts/opensans-regular.ttf] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-regular.ttf]
19-4-4 07:39:36.2|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-regular.ttf for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:36.3|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/fonts/opensans-regular.woff] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-regular.woff]
19-4-4 07:39:36.3|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-regular.woff for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:36.4|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/fonts/opensans-semibold.eot] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/fonts/opensans-semibold.eot]
